Deal - Organization,Deal - Value,Deal - Status,Deal - Stage,Deal - Deal closed on,Deal - Deal created,Deal - Lead Source,Organization - Address,Organization - Num Client A3,Organization - Tipologia Client,CENTROCOSTE3
Escola Vedruna Ripoll,"1,296.00 EUR",Lost,Proposal Presented,2017-11-06 11:43:20,2017-03-05 16:50:29,,"Vedruna Ripoll, Carrer de Berenguer el Vell, Ripoll, Spain",0,Escoles,14120
Institut El Suí,"1,347.25 EUR",Lost,Proposal Accepted,2018-01-15 13:00:23,2017-03-05 16:51:13,,"c. Penyafort, s/n 08440 Cardedeu",0,Escoles,14110
Colegio de Fomento Tabladilla,"31,500.00 EUR",Lost,Proposal Accepted,2017-06-12 13:32:03,2017-03-09 16:33:58,,"Colegio de Fomento Tabladilla, Seville, Spain",0,Escoles,14130
FUNDACIÓ JESUÏTES EDUCACIÓ - CASP,"2,373.64 EUR",Won,Proposal Presented,2017-07-18 10:07:27,2017-03-20 09:51:47,,"Jesuïtes Casp. Sagrat Cor de Jesús, Carrer de Casp, Barcelona, Spain",0,Escoles,14110
FUNDACIÓ JESUÏTES EDUCACIÓ - CASP,326.16 EUR,Won,Proposal Presented,2017-04-06 13:12:30,2017-04-06 13:11:40,,"Jesuïtes Casp. Sagrat Cor de Jesús, Carrer de Casp, Barcelona, Spain",0,Escoles,14110
Escola Maria Ossó,800.00 EUR,Lost,Proposal Presented,2017-05-22 12:50:05,2017-04-11 10:28:26,,"Carrer Ramon de Dalmases, 2, Sitges, Spain",0,Escoles,14110
Institut El Suí,150.00 EUR,Lost,Proposal Accepted,2017-09-04 10:22:55,2017-05-12 12:27:16,,"c. Penyafort, s/n 08440 Cardedeu",0,Escoles,14120
Escola Canigó l'Hospitalet,395.00 EUR,Won,Proposal Accepted,2017-10-09 09:34:01,2017-06-11 09:36:04,,"Carrer Mossèn Lluís Pañella, L'Hospitalet de Llobregat, Spain",0,Escoles,14130
Colegio de Fomento Tabladilla,"10,000.00 EUR",Lost,New Leads,2017-09-21 09:19:19,2017-06-12 13:32:53,,"Colegio de Fomento Tabladilla, Seville, Spain",0,Escoles,14110
Col·legi Públic Menéndez Pidal,50.42 EUR,Lost,Proposal Presented,2017-11-27 13:25:37,2017-06-26 17:49:48,,"Carrer del Pedraforca, 31, 08905 L'Hospitalet de Llobregat, Barcelona, Spain",0,Escoles,14110
American School of Paris,"20,000.00 EUR",Lost,Contact Made,2017-07-17 10:14:14,2017-05-11 20:58:49,,"American School of Paris, Rue Pasteur, Saint-Cloud, France",,Escoles,14130
FUNDACIÓ JESUÏTES EDUCACIÓ - CASP,100.00 EUR,Won,Proposal Presented,2017-07-18 10:07:16,2017-07-12 13:11:54,,"Jesuïtes Casp. Sagrat Cor de Jesús, Carrer de Casp, Barcelona, Spain",0,Escoles,14110
La Salle Bonanova,0.00 EUR,Lost,New Leads,2017-05-09 15:41:31,2017-03-05 16:51:48,,,,Escoles,14110
FUNDACIÓ JESUÏTES EDUCACIÓ - CASP,279.28 EUR,Won,Proposal Presented,2017-09-13 12:07:47,2017-09-13 12:07:42,,"Jesuïtes Casp. Sagrat Cor de Jesús, Carrer de Casp, Barcelona, Spain",0,Escoles,14110
Acis Artur Martorell,"4,873.15 EUR",Won,Proposal Accepted,2017-10-13 15:29:29,2017-09-13 15:54:45,,"Plaça de Can Baró, 1-3, 08024 Barcelona, Spain",0,Escoles,14110
