FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Oferta),BASEMONEDA (importe),Unidades,CENTROCOSTE3
2/7/2018,45502,EV3 Large Servo Motor,11,BELL-LLOC DEL PLA,190,319.90,10.00,14110
2/7/2018,45503,EV3 Medium Servo Motor,11,BELL-LLOC DEL PLA,190,139.95,5.00,14110
6/25/2018,45509,EV3 Infrared Sensor,11,BELL-LLOC DEL PLA,624,147.96,4.00,14110
6/25/2018,45508,EV3 Infrared Beacon,11,BELL-LLOC DEL PLA,624,73.98,2.00,14110
10/3/2018,45517,Transformer 10V DC,11,BELL-LLOC DEL PLA,1186,319.90,10.00,14110
7/9/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",710,720.00,1.00,14120
7/19/2018,45300,LEGO® Education WeDo 2.0 Core Set,39,"SEK ATLANTICO, S.L",759,0.00,30.00,14110
7/19/2018,45024,STEAM Park,39,"SEK ATLANTICO, S.L",759,0.00,2.00,14110
7/19/2018,9998,Garantía anual - No question,39,"SEK ATLANTICO, S.L",759,0.00,1.00,14110
9/25/2018,9689,Simple Machines Set,40,"SEK EL CASTILLO, S.L.",1114,549.90,10.00,14110
9/25/2018,9998,Garantía anual - No question,40,"SEK EL CASTILLO, S.L.",1114,27.50,1.00,14110
1/17/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",63,"2,400.00",40.00,14120
11/26/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1551,0.00,0.00,14120
11/26/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1551,0.00,0.00,14120
11/26/2018,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",1551,"1,920.00",32.00,14120
7/19/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,39,"SEK ATLANTICO, S.L",759,0.00,10.00,14110
7/19/2018,45517,Transformer 10V DC,39,"SEK ATLANTICO, S.L",759,0.00,5.00,14110
7/19/2018,9998,Garantía anual - No question,40,"SEK EL CASTILLO, S.L.",763,0.00,1.00,14110
7/19/2018,45300,LEGO® Education WeDo 2.0 Core Set,42,"SEK SANTA ISABEL, S.L",761,0.00,3.00,14110
7/19/2018,45024,STEAM Park,42,"SEK SANTA ISABEL, S.L",761,0.00,2.00,14110
7/19/2018,9998,Garantía anual - No question,42,"SEK SANTA ISABEL, S.L",761,0.00,1.00,14110
9/25/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,42,"SEK SANTA ISABEL, S.L",1116,739.98,2.00,14110
9/25/2018,45300,LEGO® Education WeDo 2.0 Core Set,42,"SEK SANTA ISABEL, S.L",1116,142.98,1.00,14110
9/25/2018,45024,STEAM Park,42,"SEK SANTA ISABEL, S.L",1116,299.98,2.00,14110
9/25/2018,9998,Garantía anual - No question,42,"SEK SANTA ISABEL, S.L",1116,59.15,1.00,14110
7/19/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,43,"SEK CATALUNYA, S.A",760,0.00,26.00,14110
7/19/2018,45517,Transformer 10V DC,43,"SEK CATALUNYA, S.A",760,0.00,13.00,14110
7/19/2018,45300,LEGO® Education WeDo 2.0 Core Set,43,"SEK CATALUNYA, S.A",760,0.00,24.00,14110
7/19/2018,9998,Garantía anual - No question,43,"SEK CATALUNYA, S.A",760,0.00,1.00,14110
7/19/2018,45024,STEAM Park,41,"SEK CIUDALCAMPO, S.L.",762,0.00,4.00,14110
7/19/2018,9686,Simple & Powered Machines Set,41,"SEK CIUDALCAMPO, S.L.",762,0.00,4.00,14110
7/19/2018,9689,Simple Machines Set,41,"SEK CIUDALCAMPO, S.L.",762,0.00,4.00,14110
7/19/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,41,"SEK CIUDALCAMPO, S.L.",762,0.00,6.00,14110
7/19/2018,45517,Transformer 10V DC,41,"SEK CIUDALCAMPO, S.L.",762,0.00,3.00,14110
7/19/2018,45300,LEGO® Education WeDo 2.0 Core Set,41,"SEK CIUDALCAMPO, S.L.",762,0.00,15.00,14110
7/19/2018,9998,Garantía anual - No question,41,"SEK CIUDALCAMPO, S.L.",762,0.00,1.00,14110
5/4/2018,45024,STEAM Park,45,ESCUELA LICEO EUROPEO,409,749.95,5.00,14110
5/15/2018,1LA45544,Certificación Básica LEGO MINDSTORMS Education EV3,51,"INSTITUCIO FAMILIAR D'EDUCACIO, SA  (COL·LEGI LA FARGA)",468,150.00,1.00,14120
9/25/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,82,BRITISH COUNCIL SCHOOL,1123,"5,549.85",15.00,14110
9/25/2018,9998,Garantía anual - No question,82,BRITISH COUNCIL SCHOOL,1123,277.49,1.00,14110
