FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE3
1/26/2018,705221,Formación ROBOTIX INFANTIL CM (1H),3,ESCOLA GUINARDO S.C.C.L.,91,6.00,252,14120
1/26/2018,705225,Formación ROBOTIX 2 CM (1H),3,ESCOLA GUINARDO S.C.C.L.,91,10.00,420,14002
1/26/2018,705230,Formación ROBOTIX 4 CM (1.5H),3,ESCOLA GUINARDO S.C.C.L.,91,13.00,715,14002
1/26/2018,705220,Inscripción ROBOTIX CM,4,FUNDACIÓ MARISTES CHAMPAGNAT,92,1.00,35,14002
6/22/2018,705229,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,896,6.00,390,14002
1/26/2018,705220,Inscripción ROBOTIX CM,7,THE BRITISH SCHOOL BARCELONA,94,3.00,90,14002
1/26/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,94,11.00,638,14002
1/26/2018,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,94,17.00,1037,14002
1/26/2018,705228,Formación ROBOTIX 3 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,94,10.00,650,14002
6/22/2018,705227,Formación ROBOTIX 3 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,896,9.00,378,14002
6/22/2018,705223,Formación ROBOTIX 1 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,896,12.00,504,14002
1/26/2018,705229,Formación ROBOTIX 4 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,93,7.00,455,14002
1/26/2018,705227,Formación ROBOTIX 3 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,93,10.00,420,14002
1/26/2018,705223,Formación ROBOTIX 1 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,93,11.00,462,14002
6/22/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,895,5.00,230,14002
