CodigoEducateca,Lat,Lon
281257,40.437873,-3.716012
281263,40.383177,-3.7351803
281269,40.4267441,-3.724349399999999
281279,40.456886,-3.4798758
281453,43.2580334,-2.9197867
281480,40.4143869,-3.7012027
281481,40.4220501,-3.7090537
281486,40.4504333,-3.6457303
281493,40.4149117,-3.7034487
281564,40.4283061,-3.6811232
281566,40.4268181,-3.6771564
281572,40.5230187,-3.596457
281639,40.4182093,-3.912034
281674,40.4479325,-3.7083187
281716,40.448331,-3.707175
281734,40.4613734,-3.6792398
281738,40.3866776,-3.6678712
281742,40.4618816,-3.6985835
281743,40.3450803,-3.7065472
281754,40.4703805,-3.7681495
281755,40.441903,-3.845686
281756,40.4537077,-3.7698298
281757,40.3922396,-3.7623325
281758,40.3963461,-3.7612196
281759,40.3842781,-3.7429932
281760,40.3848,-3.701871999999999
281761,40.3893151,-3.7029739
281762,40.4466506,-3.6453333
281763,40.43583,-3.65539
281773,40.44531569999999,-3.6492859
281774,40.44445169999999,-3.6519215
281775,40.4451321,-3.6468054
281776,40.4324516,-3.6666682
281779,40.4380168,-3.661412799999999
281780,40.4326244,-3.6711258
281782,40.4228497,-3.6653192
281783,40.4114801,-3.6490532
281784,40.4085332,-3.6434215
281785,40.3790993,-3.6193629
281786,40.3771445,-3.619301
281793,40.4009002,-3.6633584
281797,40.465621,-3.7708488
281798,40.356128,-3.700284
281800,40.4539093,-3.6571356
281801,40.4539175,-3.6461263
281811,40.4501809,-3.6392545
281813,40.4605889,-3.661628
281814,40.3771101,-3.7791069
281815,40.3791535,-3.7803053
281837,40.4238043,-3.9698943
281838,40.4075981,-3.6731247
281846,40.42740149999999,-3.7089382
281853,40.3794256,-3.6183675
281857,40.3432908,-3.7115421
281864,40.3797836,-3.7939353
281867,40.3976578,-3.7696792
281883,40.4218226,-3.6680573
281891,40.449565,-3.674014999999999
281893,40.445116,-3.6737312
281896,40.4487159,-3.6831135
281900,40.4417105,-3.6765846
281903,40.4507423,-3.6689886
281904,40.4508999,-3.6857426
281905,40.5283789,-3.6320598
281906,40.4509505,-3.6804511
281907,40.4503474,-3.681756
281908,40.450207,-3.6788986
281909,40.4411298,-3.7164698
281910,40.4459725,-3.7149559
281912,40.4243538,-3.6102409
281913,40.4456707,-3.7003089
281919,40.42335370000001,-3.6966908
281920,40.421546,-3.7020047
281921,40.4276882,-3.7019826
281924,40.4223003,-3.7035974
281925,40.4255403,-3.6977609
281926,40.3973552,-3.7034068
281927,40.4082,-3.7118383
281934,40.4117794,-3.7133394
281935,40.4119728,-3.718422099999999
281938,40.385867,-3.7020507
281940,40.4310729,-3.6753671
281948,40.4117949,-3.6649709
281951,40.4086114,-3.6716924
281954,40.4163028,-3.6677907
281956,40.4083161,-3.6712863
281957,40.4081954,-3.6730352
281959,40.4060981,-3.684188199999999
281962,40.4259674,-3.713848
281966,40.4316928,-3.720053
281975,40.4132665,-3.672766699999999
281978,40.4336686,-3.6957256
281981,40.4367567,-3.6977792
281982,40.43455400000001,-3.695922
281985,40.4348037,-3.6978323
281986,40.4322429,-3.694463899999999
281992,40.4041732,-3.6988026
282000,40.407893,-3.681306
282003,40.4369959,-3.7128735
282004,40.447385,-3.810687
282008,40.42632160000001,-3.708589
282009,40.434112,-3.712800999999999
282017,40.5073317,-3.7049705
282020,40.467465,-3.671325
282022,40.4590091,-3.6697048
282025,40.4556033,-3.6669429
282027,40.4597882,-3.6797239
282034,40.4458377,-3.6810785
282037,40.43168,-3.643086
282041,40.4304077,-3.6342214
282043,40.4261423,-3.656017
282044,40.4274946,-3.6579622
282045,40.4352846,-3.640789
282046,40.4312842,-3.6388859
282047,40.4301933,-3.642293599999999
282048,40.4307179,-3.6401278
282050,40.42205149999999,-3.6552621
282059,40.4658034,-3.6693356
282062,40.4426298,-3.7119193
282067,40.442142,-3.6957594
282069,40.4419769,-3.698047
282079,40.4034275,-3.7582194
282080,40.4129401,-3.7282925
282081,40.4100072,-3.7356544
282084,40.4079758,-3.7231727
282085,40.4075783,-3.7469226
282088,40.4093938,-3.705391
282089,40.4062884,-3.6974217
282090,40.4068676,-3.702133
282091,40.410463,-3.69644
282096,40.4288815,-3.6541461
282100,40.4292094,-3.6394407
282102,40.3799293,-3.6629137
282103,40.3821892,-3.6715865
282105,40.3934028,-3.6614103
282106,40.3819957,-3.6700483
282108,40.3911521,-3.661450799999999
282109,40.3869969,-3.6546601
282110,40.393344,-3.6696856
282111,40.38798120000001,-3.655601
282117,40.378663,-3.6734287
282118,40.3741323,-3.6672933
282124,40.3943822,-3.710423399999999
282127,40.3924865,-3.7356646
282128,40.3920296,-3.7339061
282133,40.40247,-3.723738
282137,40.337201,-3.858138
282141,40.450139,-3.6966076
282144,40.4507576,-3.7031777
282146,40.3512847,-3.6806093
282148,40.3474872,-3.7087143
282152,40.35099,-3.6890593
282154,40.352968,-3.6804842
282156,40.4479049,-3.6142875
282165,40.3811331,-3.6118042
282166,40.3852026,-3.725246
282175,40.38803,-3.735405
282177,40.3826326,-3.7443266
282179,40.3779137,-3.749019999999999
282182,40.3807413,-3.7299228
282186,40.4341533,-3.6488681
282188,40.4420587,-3.6399344
282191,40.43798,-3.654193
282192,40.4341533,-3.6488681
282193,40.4458509,-3.6136004
282194,40.4462026,-3.6431602
282195,40.43608,-3.649083
282197,40.4413399,-3.64255
282199,40.4335153,-3.647868599999999
282207,40.4362816,-3.673148
282212,40.4228497,-3.6653192
282213,40.4216138,-3.6683996
282214,40.4295228,-3.6633712
282216,40.4266894,-3.6648815
282217,40.4686592,-3.7006286
282221,40.47385999999999,-3.71237
282225,40.4265274,-3.609680999999999
282229,40.4269493,-3.6074552
282232,40.4534714,-3.7709042
282238,40.4546826,-3.7932719
282240,40.4614007,-3.7887918
282242,40.4667271,-3.7795051
282244,40.3880838,-3.7344851
282245,40.3807667,-3.7445211
282253,40.3849129,-3.7010553
282255,40.3904302,-3.7098847
282256,40.3828585,-3.7092436
282258,40.3850827,-3.7172975
282261,40.468457,-3.690289
282262,40.4708532,-3.6913333
282266,40.475962,-3.7085704
282268,40.4016339,-3.6488319
282272,40.4063666,-3.6552591
282274,40.3984358,-3.6434268
282275,40.4091948,-3.6610223
282276,40.3786208,-3.6222613
282278,40.3747944,-3.6215285
282279,40.3815677,-3.6080807
282281,40.4035124,-3.6054888
282282,40.4069157,-3.607934799999999
282284,40.4103405,-3.6103769
282286,40.4731797,-3.6652064
282287,40.4741793,-3.6475944
282292,40.4797678,-3.6604716
282295,40.4740059,-3.654033999999999
282300,40.4755521,-3.6406931
282301,40.4761242,-3.730917
282302,40.4683771,-3.7350549
282305,40.4557955,-3.6869072
282310,40.4691807,-3.6760702
282311,40.5292503,-3.6283349
282312,40.4543131,-3.6865447
282314,40.4322204,-3.6129024
282315,40.4273206,-3.6262707
282316,40.4362698,-3.6365565
282319,40.431722,-3.6318267
282323,40.3953698,-3.6644379
282324,40.4024345,-3.6621058
282325,40.398795,-3.665868
282326,40.3975321,-3.6643157
282329,40.3955955,-3.6468522
282334,40.3940764,-3.6603086
282338,40.382211,-3.645028
282340,40.4650624,-3.7120086
282341,40.459502,-3.71234
282342,40.4583869,-3.7065399
282353,40.447191,-3.712599
282354,40.4577988,-3.7154077
282359,40.4509523,-3.6539384
282364,40.4503982,-3.656403499999999
282365,40.456031,-3.6493504
282367,40.4605972,-3.661096
282369,40.4642827,-3.6378023
282371,40.463456,-3.6469189
282377,40.4839902,-3.6874821
282378,40.4948961,-3.6991344
282379,40.4870755,-3.6885503
282381,40.4839364,-3.7297403
282383,40.46091670000001,-3.7264629
282384,40.48296910000001,-3.7185375
282385,40.4663559,-3.7243974
282391,40.35504299999999,-3.691877
282393,40.359694,-3.694027
282394,40.3653625,-3.7035688
282395,40.3536778,-3.7111521
282396,40.3645218,-3.7034547
282397,40.357144,-3.6938324
282398,40.372758,-3.69214
282399,40.3729148,-3.7169049
282401,40.455345,-3.59455
282402,40.4547256,-3.6136529
282403,40.4725867,-3.585105299999999
282407,40.4751606,-3.578905
282408,40.45335,-3.6110096
282413,40.371797,-3.754838
282422,40.3724361,-3.758437299999999
282423,40.3754387,-3.750614
282426,40.3739629,-3.7488834
282428,40.374184,-3.7531306
282430,40.3937136,-3.6941638
282431,40.3958002,-3.696280499999999
