Organization,Lat,Lon
SAM Claret,41.3970171,2.125255
Reial Monestir Santa Isabel,41.3964518,2.1635669
Col·legi Sant Josep Sant Hilari,41.3920386,2.1689428
UNIO CENTRES PRIVATS S.L.,41.44201400000001,2.1820577
Col·legi Sant Lluís,41.387579,2.106328
INSTITUCIÓ CULTURAL CIC-Escola Thau Barcelona,41.424563,2.211812
Escola Túrbula,41.5590528,2.081356
Escola Virolet,36.834047,-2.4637136
Escola Desconeguda,42.34124,-3.73521
Agencies de comunicació,40.4309281,-3.8483136
Aldees Infantils,41.3949992,2.1690437
Alena Garnik,41.3654541,2.0785377
ROBOTIX CYL EDUCAINGENIO,41.315149,2.012564
Esabierto,41.4002191,2.145653
Aquinas American School,41.54563659999999,2.1069432
BNETWORK,41.38799849999999,2.1336888
Col·legi Sant Antoni Maria Claret,41.54719,2.110423
COL·LEGI MONTESSORI-PALAU,41.3920249,2.149728
The Lake Lab,40.4353896,-3.693819699999999
Excellent Code Academy,41.4183531,2.2087912
STP Group,41.4108025,2.2107501
Institut d'Estudis Nord-Americans,41.5378449,1.8682421
FUNDACIÓ GAS NATURAL FENOSA,41.9365765,2.264418
Particular,41.32781,2.10322
Fundació Pere Tarrés,41.6485849,2.3630711
AMPA SAGRADA FAMILIA DE SABADELL,41.6485263,2.3642549
IPSE,41.3707611,2.1117884
DELEGACIÓN EN ESPAÑA DE LA FUNDACIÓN BRITISH COUNCIL,41.385417,2.0805
Ludoteca Arimel,41.9631747,2.7362579
Club Fitness DIR,41.650106,1.1457187
CEE Concha Espina,42.4315645,1.9294099
CENTRE D'ESTUDIS MONTSENY-POBLENOU,41.45302179999999,2.2471276
Mare de Déu de la Muntanya,42.2011797,2.1882442
Escola Guillem de Mont-rodon,41.6358693,2.3620589
Charles Darwin,41.4019536,2.20585
Institut Antoni Maura,41.3823058,2.1680511
Institut Arquitecte Manuel Raspall,41.401778,2.1227099
Llar d'infants Sant Josep,41.4124472,2.2008558
Institut El Suí,41.4007967,2.1184639
Col·legi Sant Gervasi l'Hospitalet,40.530412,-3.631788
Escola Canigó St. Just,40.18992370000001,-3.7744615
INSTITUT LA MIQUELA,40.4556033,-3.6669429
Carlos de la Morena,40.1671414,-3.2769795
Vedruna Tàrrega,40.4456803,-3.6141243
Vedruna Puigcerdà,41.3741233,2.0748277
Col·legi Cultural,41.4061083,2.1670217
Escola Vedruna Ripoll,41.4008172,2.1714206
Bee-bee,41.4064339,2.1252563
Escola Mil·lenari,41.97752,2.82198
ROBOTIX Barcelona TECNOLEGORIS,41.422858,2.191257
FUNDACIÓ PRIVADA EDUCATIVA VEDRUNA ÀNGELS,41.5652297,2.0297483
Escola Sant Marc Sarrià,41.3910558,2.1541746
Escola Les Falgueres (Girona),41.4130221,2.1355238
Escola Catalònia,41.6190371,2.5381161
Col·legi d'Enginyers Industrials,39.4214866,-0.3957763
SAGRAT COR SARRIA,41.6463225,1.1429122
Ciencia en Acción,41.5800175,2.5218723
Colegio Brains Alcobendas,38.6176293,-0.5861252
Colegio El Caton,41.4954137,2.3711501
Colegio Las Naciones,40.4541834,-3.6931088
Colegio Santa Elena,42.2870733,-2.539603
Colegio Santo Angel de la Guarda,39.719911,2.872428
Vivències,42.4181409,-6.9862287
Col·legi Claret,36.6905215,-6.132753399999999
Col·legi Dominiques de l'Ensenyament,41.53140339999999,2.081394
Col·legi Jesús Salvador,41.50288,2.3868
Col·legi John Talabot,42.634134,-8.873782
Col·legi La Salle Girona,38.3608116,-0.4945243
COL·LEGI MARE DE DÉU DELS ÀNGELS,41.4040502,2.1832839
Col·legi RAMON PONT,41.4547165,2.0550861
Col·legi Sant Miquel,41.5356515,2.1215885
Colegio SIL,41.459284,2.168068
INS Domènec Perramon,41.6177567,2.2896329
5 Ink Estudio,41.3771759,2.0752989
NSTarrega,41.4497746,2.2270516
Eurostage,41.6106595,2.2846509
AIJU,41.3765385,2.1389856
Institut de Premià de Mar,41.394196,2.17162
ADD Event SL,41.3906966,2.1611283
ROBOTIX La Rioja MECARAPID LA RIOJA,41.407946,2.178243
ROBOTIX Mallorca,41.398594,2.154747
Luna Amposta,41.65702,1.0827924
Academia Epsilon Barco,41.544613,2.2037217
Con Sombrero,41.4294375,1.7874534
Academia valmeca,41.5866803,2.1757235
Xavi Zurita,41.5486914,2.022447
Children Land,41.4606115,2.2046759
Watsons Lab House,41.4389014,2.1895895
Academia Art Typing,41.5438197,2.442775
Robotica Cangas,41.4489747,2.2241129
Centro Pitágoras,41.4550803,2.2213995
Edukem-nos,41.2854449,1.2494589
Creatic Academy,41.5889462,-4.7250043
Microgalia,28.4897693,-16.322305
Espacio STEM,42.863391,-4.4949419
Asociación Educativa Robótica Valle de Güímar,40.5121038,-3.6436102
Antonio Ballester Martínez,41.4343657,2.1550799
Creabotics 3D,41.4162244,2.1992805
Cor de Maria Blanes,40.410463,-3.96644
Escola Els Encants,41.363667,2.131099
COLEGIO HATIKVA,41.4692492,2.0583664
Escola Joaquim Blume,37.344734,-5.951481999999999
Escola Mestre Morera,41.392688,2.118245
Escola Lledoner,41.27256999999999,2.000183
Escola Montserrat,41.2388072,1.7577927
Escola Pau Picasso,41.615664,2.127463
Col·legi Jardí,41.0921706,1.1500384
FAPAC,41.2721624,1.9893379
Federació de Moviments de Renovació Pedagògica de Catalunya,41.271275,2.024058
Federació de Cooperatives d'Ensenyament a Catalunya,41.0679056,-2.6445383
Federació Catalana de Centres d'Ensenyament,36.6874181,-6.1341845
Federació Escoles Parroquials,40.3659785,-3.6980372
Confederació Cristiana d'Associacions de Pares i Mares d'Alumnes de Catalunya,42.846201,-2.677707
Agrupació Escolar Catalana,39.458004,-0.4555007
Escola Santa Creu,42.851577,-8.535701
Escola Can Besora,41.6647045,-4.721973
Institut Escola Jacint Verdaguer,40.4093703,-3.6872443
Escola Josep maria Folch i Torres,28.1183013,-15.4298287
Escola Pau Vila i Dinarés,40.078851,-0.212471
Col·legi Singuerlín,40.9468945,-4.1146091
Sant Pere Nolasc,38.88140250000001,-6.972002
Maristes Valldemia,36.4577475,-6.2034513
Col·legi Jesús Maria,39.2206874,-0.5197545
Escola Joan Coret,37.38449,-6.0711251
CREI EL GUARET,39.886145,-0.094316
CEIP Miguel Hernández Laguna de Duero,39.15328280000001,-0.4423777
ALCORAC S.L.,39.57443079999999,2.7164187
Apa Colegio Nuestra Señora del Carmen,43.2982822,-1.9905614
CRIE Cervera de Pisuerga,38.8353109,0.1018731
ESCUELA LICEO EUROPEO,36.6656171,-4.5744516
FEDAC HORTA,43.3437511,-5.6358937
INSTITUT INFANTA ISABEL D'ARAGÓ,40.4116379,-3.712664
SEK SANTA ISABEL S.L,40.398795,-3.665868
CEIP Bernat Desclot,38.4658934,-0.7923245
INSTITUCIO FAMILIAR D'EDUCACIO SA  (COL·LEGI LA FARGA),39.57947739999999,2.6792875
Colegio de Fomento Tabladilla,39.28656549999999,-0.5801044
ESCOLA HAMELIN,39.2864692,-0.5761703
OAK HOUSE SCHOOL,41.3823414,2.1761001
LYCÉE FRANÇAIS DE BARCELONA,37.4530309,-3.9222591
KENSINGTON SCHOOL,39.6952629,3.0175712
ÉCOLE FRANÇAISE FERDINAND DE LESSEPS,38.3863143,-0.4892807
ZURICH SCHULE,39.0049802,-1.8621293
AULA ESCOLA EUROPEA,36.6265566,-4.5160396
