FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),BASEMONEDA,Unidades
6/29/2017,1LA45544E,¡INTENSIVO! - Introducción a la robótica con LEGO MINDSTORMS Education EV3,12,"ESTUDIO AGORA, S.A.",558,150,1.00 
9/12/2017,45544,LEGO® MINDSTORMS® Education EV3 Core Set,14,COLEGIO DE FOMENTO ALDOVEA,838,2219.94,6.00 
9/12/2017,0000,Codi descompte material LE,14,COLEGIO DE FOMENTO ALDOVEA,838,-270,6.00 
9/21/2017,45300PI-24,Solución Primaria 24 alumnos - PLAN ACOMPAÑAMIENTO INMEDIATO,14,COLEGIO DE FOMENTO ALDOVEA,928,1673.61,1.00 
6/23/2017,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",508,2400,40.00 
6/9/2017,9999,Codi creació de packs,41,"SEK CIUDALCAMPO, S.L.",431,1644.65,5.00 
6/9/2017,9999,Codi creació de packs,41,"SEK CIUDALCAMPO, S.L.",431,1421.75,5.00 
6/9/2017,9999,Codi creació de packs,41,"SEK CIUDALCAMPO, S.L.",431,990.08,2.00 
6/9/2017,9999,Codi creació de packs,41,"SEK CIUDALCAMPO, S.L.",431,1227.3,15.00 
6/9/2017,0000,Codi descompte material LE,41,"SEK CIUDALCAMPO, S.L.",431,-425,(1.00)
6/9/2017,45544,LEGO® MINDSTORMS® Education EV3 Core Set,41,"SEK CIUDALCAMPO, S.L.",431,2219.94,6.00 
6/9/2017,45300,LEGO® Education WeDo 2.0 Core Set,41,"SEK CIUDALCAMPO, S.L.",431,714.95,5.00 
6/9/2017,20150,LEGO Architecture Studio,41,"SEK CIUDALCAMPO, S.L.",431,280.96,2.00 
9/27/2017,51566,VEXIA PORTABLET STRONGER HEY!,46,FUNDACIÓ GAS NATURAL FENOSA,958,3659.4,12.00 
11/6/2017,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",994,240,4.00 
10/11/2017,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",993,240,4.00 
10/4/2017,705001,SERVICIOS PRESTADOS,35,"BARCELONA ACTIVA SAU, SPM",995,240,4.00 
6/9/2017,9999,Codi creació de packs,74,ESCUELAS PEREZ IBORRA S.L.,433,3214.88,2.00 
6/9/2017,45300,LEGO® Education WeDo 2.0 Core Set,74,ESCUELAS PEREZ IBORRA S.L.,433,0,24.00 
6/9/2017,9580,LEGO Education WeDo Construction Set,74,ESCUELAS PEREZ IBORRA S.L.,435,0,4.00 
6/9/2017,9999,Codi creació de packs,74,ESCUELAS PEREZ IBORRA S.L.,435,531.41,1.00 
