Organization,Address,Closed deals,Open deals
English Connection / Ingenio Educativo SL,"Calle Carretero, 51, 41100 Coria del Río, Spain",1,2
ASOC CULTURAL Y DEPORTIVA DEL LICEO FRANCES,"Plaza del Liceo, 1, 28043, Madrid",1,0
English Connection Alcorcón Juzgados,"Calle Ministro Fernandez Ordoñez, 1, 28924 Alcorcón, Madrid, Spain",2,1
Col·legi Sant Gervasi l'Hospitalet,"Carrer Bòbiles, 39, 08905 Hospitalet De Llobregat ( L'), Barcelona",8,0
English Connection Malaga Teatinos,Avenida gregorio prieto 5 local 8 -29010 malaga teatinos,2,0
Escola Beat Bonaventura Gran,"Col·legi Públic Beat Bonaventura Gran, Carrer Doctor Fleming, Riudoms, Spain",1,1
IES Federico García Lorca (Las Rozas),"Calle Gimnasio, 1, 28290 Las Rozas, Spain",2,0
Escola Reixac,"Escola Reixac, Carrer Doctor Buxó, Montcada i Reixac, Spain",1,0
English Connection Sevilla Este,"Avenida de las Ciencias, 16, 41020 Sevilla, Spain",3,1
English Connection Utrera,"Plaza de la Constitución, 3, 41710 Utrera, Spain",3,0
PEEKABOO School of English,"Plaza Europa, 25, Bajo, Gijón, Spain",2,0
English Connection Ávila,"Calle las Eras, 12, 05002 Ávila, Spain",4,0
TKids Escuela tecnológica,"Camino del Almajal, 2b, 03360 Callosa de Segura, Spain",2,0
CEIP Rafael Altamira,"Calle Tomás Aznar Domenech, Alicante, Spain",2,0
Colegio Los Tilos,"Calle el Bosco, Madrid, Spain",3,0
FUNDACIÓ JESUÏTES - CLOT,"Escola de Jesuïtes El Clot, Carrer de València, Barcelona, Spain",2,0
FUNDACIÓ JESUÏTES EDUCACIÓ - LLEIDA,"Jesuïtes Lleida - Col·legi Claver Raimat, Raimat, Spain",2,0
FUNDACIÓ JESUÏTES EDUCACIÓ - BELLVITGE,"Jesuïtes Bellvitge. Centre d'Estudis Joan XXIII, Avinguda Mare de Déu de Bellvitge, L'Hospitalet de Llobregat, Spain",2,0
Colegio Arenas,,2,1
