FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE,CENTROCOSTE2,CENTROCOSTE3,Nom Cost Center,Nom Project
12/31/2017,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,2025,4.00 ,184,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
12/31/2017,705227,Formación ROBOTIX 3 CM (1H),5,"CENTRO DE ESTUDIOS GRESOL, S.L.",2004,3.00 ,120,1/14/1900,140,14004,EXTRAESCOLARS,ROBOTIX 3
12/31/2017,705223,Formación ROBOTIX 1 CM (1H),5,"CENTRO DE ESTUDIOS GRESOL, S.L.",2004,2.00 ,80,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
12/31/2017,705230,Formación ROBOTIX 4 CM (1.5H),3,ESCOLA GUINARDO S.C.C.L.,2003,13.00 ,715,1/14/1900,140,14006,EXTRAESCOLARS,ROBOTIX 4
12/31/2017,705225,Formación ROBOTIX 2 CM (1H),3,ESCOLA GUINARDO S.C.C.L.,2003,10.00 ,420,1/14/1900,140,14003,EXTRAESCOLARS,ROBOTIX 2
12/31/2017,705221,Formación ROBOTIX INFANTIL CM (1H),3,ESCOLA GUINARDO S.C.C.L.,2003,7.00 ,294,1/14/1900,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
3/24/2017,705218,"FORMACION ROBOTIX II, III SM 1 H",6,AMPA SAGRADA FAMILIA DE SABADELL,325,15.00 ,630,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/24/2017,705212,FORMACION ROBOTIX I CM 1H,6,AMPA SAGRADA FAMILIA DE SABADELL,325,13.00 ,546,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
2/22/2017,705218,"FORMACION ROBOTIX II, III SM 1 H",6,AMPA SAGRADA FAMILIA DE SABADELL,207,15.00 ,630,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
2/22/2017,705212,FORMACION ROBOTIX I CM 1H,6,AMPA SAGRADA FAMILIA DE SABADELL,207,13.00 ,546,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
2/22/2017,705206,"INSCRIPCION ROBOTIX II, III CM",6,AMPA SAGRADA FAMILIA DE SABADELL,207,1.00 ,25,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/24/2017,705217,"FORMACION ROBOTIX II, III CM 1 H",4,FUNDACIÓ MARISTES CHAMPAGNAT,323,6.00 ,294,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/24/2017,705212,FORMACION ROBOTIX I CM 1H,4,FUNDACIÓ MARISTES CHAMPAGNAT,323,3.00 ,138,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
11/29/2017,705227,Formación ROBOTIX 3 CM (1H),5,"CENTRO DE ESTUDIOS GRESOL, S.L.",1769,1.00 ,40,1/14/1900,140,14004,EXTRAESCOLARS,ROBOTIX 3
2/22/2017,705212,FORMACION ROBOTIX I CM 1H,4,FUNDACIÓ MARISTES CHAMPAGNAT,205,4.00 ,184,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
2/22/2017,705217,"FORMACION ROBOTIX II, III CM 1 H",4,FUNDACIÓ MARISTES CHAMPAGNAT,205,6.00 ,294,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
11/29/2017,705221,Formación ROBOTIX INFANTIL CM (1H),3,ESCOLA GUINARDO S.C.C.L.,1767,7.00 ,294,1/14/1900,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
11/29/2017,705225,Formación ROBOTIX 2 CM (1H),3,ESCOLA GUINARDO S.C.C.L.,1767,10.00 ,420,1/14/1900,140,14003,EXTRAESCOLARS,ROBOTIX 2
11/29/2017,705230,Formación ROBOTIX 4 CM (1.5H),3,ESCOLA GUINARDO S.C.C.L.,1767,14.00 ,770,1/14/1900,140,14006,EXTRAESCOLARS,ROBOTIX 4
12/31/2017,705223,Formación ROBOTIX 1 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,2005,12.00 ,504,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
12/31/2017,705227,Formación ROBOTIX 3 CM (1H),6,AMPA SAGRADA FAMILIA DE SABADELL,2005,10.00 ,420,1/14/1900,140,14004,EXTRAESCOLARS,ROBOTIX 3
11/29/2017,705227,Formación ROBOTIX 3 CM (1H),5,"CENTRO DE ESTUDIOS GRESOL, S.L.",1769,2.00 ,40,1/14/1900,140,14004,EXTRAESCOLARS,ROBOTIX 3
11/29/2017,705223,Formación ROBOTIX 1 CM (1H),5,"CENTRO DE ESTUDIOS GRESOL, S.L.",1769,2.00 ,80,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
11/29/2017,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,1768,4.00 ,184,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
11/29/2017,705220,Inscripción ROBOTIX CM,4,FUNDACIÓ MARISTES CHAMPAGNAT,1768,4.00 ,140,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/24/2017,705210,FORMACION ROBOTIX INFANTIL 1 H,3,ESCOLA GUINARDO S.C.C.L.,322,6.00 ,252,1/14/1900,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
3/24/2017,705213,"FORMACION ROBOTIX II, III SM 1,5 H",3,ESCOLA GUINARDO S.C.C.L.,322,9.00 ,495,1/14/1900,140,14004,EXTRAESCOLARS,ROBOTIX 3
3/24/2017,705215,FORMACION ROBOTIX I SM 1H,3,ESCOLA GUINARDO S.C.C.L.,322,13.00 ,546,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
12/5/2017,705220,Inscripción ROBOTIX CM,7,THE BRITISH SCHOOL BARCELONA,1834,2.00 ,60,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
12/5/2017,705222,Formación ROBOTIX INFANTIL CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1834,14.00 ,812,1/14/1900,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
12/5/2017,705224,Formación ROBOTIX 1 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1834,17.00 ,1037,1/14/1900,140,14002,EXTRAESCOLARS,ROBOTIX 1
12/5/2017,705228,Formación ROBOTIX 3 CM (1.5H),7,THE BRITISH SCHOOL BARCELONA,1834,14.00 ,910,1/14/1900,140,14004,EXTRAESCOLARS,ROBOTIX 3
3/24/2017,705218,"FORMACION ROBOTIX II, III SM 1 H",5,"CENTRO DE ESTUDIOS GRESOL, S.L.",324,4.00 ,160,1/14/1900,140,14003,EXTRAESCOLARS,ROBOTIX 2
